experiment,scenario,run,psc,min_ttc,min_distance,detection_latency,vlm_latency,continue_count,slow_down_count,yield_count,scenario_duration
notrack,intersection,4,51.43,0.000,-0.089,N/A,N/A,0,0,0,133.68
notrack,doorway,4,15.03,0.000,-0.111,N/A,N/A,0,0,0,235.75
notrack,frontal_approach,5,100.00,inf,3.714,N/A,N/A,0,0,0,23.74
notrack,intersection,5,85.85,inf,1.081,N/A,N/A,0,0,0,28.49
notrack,doorway,5,76.18,0.000,-0.092,N/A,N/A,0,0,0,434.46
notrack,frontal_approach,6,100.00,inf,5.133,N/A,N/A,0,0,0,19.52
notrack,intersection,6,0.00,inf,0.630,N/A,N/A,0,0,0,30.38
notrack,doorway,6,77.21,0.616,0.285,N/A,N/A,0,0,0,380.88
notrack,intersection,7,17.55,0.000,-0.196,N/A,N/A,0,0,0,394.09
notrack,intersection,8,31.67,75.428,0.062,N/A,N/A,0,0,0,451.75
notrack,intersection,9,47.91,0.770,0.382,N/A,N/A,0,0,0,99.90
notrack,intersection,10,21.34,16.635,0.339,N/A,N/A,0,0,0,196.29
notrack,frontal_approach,1,73.22,14.718,0.068,N/A,N/A,0,0,0,52.71
notrack,intersection,1,71.19,10.451,0.214,N/A,N/A,0,0,0,81.50
notrack,doorway,1,77.32,0.000,-0.133,N/A,N/A,0,0,0,395.73
notrack,intersection,2,48.51,inf,0.287,N/A,N/A,0,0,0,14.01
notrack,frontal_approach,1,73.69,14.441,0.073,N/A,N/A,0,0,0,49.82
notrack,intersection,1,71.60,10.172,0.223,N/A,N/A,0,0,0,85.21
notrack,doorway,1,41.45,0.000,-0.205,N/A,N/A,0,0,0,99.46
notrack,frontal_approach,2,72.91,0.373,0.023,N/A,N/A,0,0,0,50.40
notrack,intersection,2,62.85,59.264,0.317,N/A,N/A,0,0,0,53.04
notrack,doorway,2,67.39,0.000,-0.129,N/A,N/A,0,0,0,170.36
notrack,frontal_approach,3,72.26,1.265,0.054,N/A,N/A,0,0,0,35.11
notrack,frontal_approach,1,72.26,14.589,0.050,N/A,N/A,0,0,0,54.12
notrack,intersection,1,70.81,10.331,0.218,N/A,N/A,0,0,0,45.15
notrack,doorway,1,66.92,0.000,-0.167,N/A,N/A,0,0,0,101.79
notrack,frontal_approach,2,73.02,0.600,0.034,N/A,N/A,0,0,0,55.08
notrack,intersection,2,62.67,115.411,0.301,N/A,N/A,0,0,0,56.13
notrack,doorway,2,44.62,0.000,-0.247,N/A,N/A,0,0,0,178.73
notrack,frontal_approach,3,72.71,0.741,0.042,N/A,N/A,0,0,0,51.78
notrack,frontal_approach,1,72.72,15.021,0.053,N/A,N/A,0,0,0,55.02
notrack,intersection,1,71.39,14.322,0.247,N/A,N/A,0,0,0,104.39
notrack,doorway,1,38.42,0.000,-0.205,N/A,N/A,0,0,0,118.53
notrack,frontal_approach,2,73.08,0.724,0.042,N/A,N/A,0,0,0,54.98
notrack,intersection,2,62.97,73.824,0.321,N/A,N/A,0,0,0,159.95
notrack,doorway,2,34.47,0.000,-0.221,N/A,N/A,0,0,0,49.79
notrack,frontal_approach,1,73.45,14.402,0.073,N/A,N/A,0,0,0,51.95
notrack,intersection,1,72.61,10.168,0.217,N/A,N/A,0,0,0,45.11
notrack,doorway,1,67.41,0.000,-0.167,N/A,N/A,0,0,0,104.80
notrack,frontal_approach,2,72.90,1.157,0.061,N/A,N/A,0,0,0,52.62
